id|name|descr|price|lang
8|Di carne|Fried slices of chiken fillet, green peas, potatoes, cucumbers, quails eggs. Served with mayonnaise.|250 / 55,00|en
8|Мясной|Жареные ломтики куриного филе, зеленый горошек, картофель, свежие и маринование огурцы, яйца перепелиные. Подается с майонезом.|250 / 55,00|ru
9|Нісуаз|Тунець, сир, яйця, листя салату, помідори, квасоля та маслини. Заправляється рослинною олією та орегано.|250 / 64,00|ua
9|Nicois|Tonno, formaggio, uova, lattuga, pomodori. Condita con oglio e origano,|250 / 64,00|it
9|Nicoise|Tuna, cheese, eggs, salad leaves, tomatoes, beans and olives. Served with oil and basil dressing.|250 / 64,00|en
9|Нисуаз|Тунец, сыр, яйца, листья салата, помидоры, фасоль и маслины. Заправляется маслом.|250 / 64,00|ru
10|Капрезе|Свіжі помідори та сир моцарелла, заправляються рослинним маслом, орегано.|250 / 56,00|ua
10|Caprese|Pomodori fresclii Mozzarella. Condita con olio extravergine doliva e origano.|250 / 56,00|it
10|Caprese|Tomatoes, mozzarella cheese. Served with oil and basil dressing.|250 / 56,00|en
10|Капрезе|Помидоры, сыр моцарелла, подаются с маслом.|250 / 56,00|ru
11|Норка їжачка|Смажені печериці та філе курки з відварним яйцем та сиром.|240 / 55,00|ua
11|Tana di riccio|Funghi champignons con pollo. Con uovo e formagio.|240 / 55,00|it
11|Tana di riccio|Mushrooms with chiken,  eggs and cheese.|240 / 55,00|en
11|Норка ежика|Грибы с курицей, яйцами и сыром пож майонезом.|240 / 55,00|ru
12|Ді фегато фламбе|Зелене яблуко з яйцем, виноградом та печінкою індички, фламбованою коньяком.|300 / 50,00|ua
12|Di fegato Flambe|Mela, uovo, uvo, feghato di tachino flambe. Con olio.|300 / 50,00|it
12|Di fegato Flambe|Apple with eggs, grapes and flambe turkey liver.|300 / 50,00|en
12|Ди фегато фламбе|Яблоко, яйца, виноград и печень индейки фламбированой коньяком.|300 / 50,00|ru
13|Ал вітелло кальдо|Листя салату, морква, філе телятини, помідори та горіховий соус.|220 / 72,00|ua
13|Al vitello caldo|Insalata, carota filetto di vitello, pomodori con salsa di noce.|220 / 72,00|it
13|Al vitello caldo|Salad, tomatoes, carrots, veal fillet.|220 / 72,00|en
13|Аль вителло кальдо|Салат, помидоры, морковь, филе телятины в ореховом соусе.|220 / 72,00|ru
14|Аль сальмоне кон піноллі|Листя салатів Айсберг та Лола-росса, під сумішшю з олії,  діжонськой гірчиці та фрешу з помаранчу. З кедровим горішками та слабо солоним лососем.|250 / 75,00|ua
14|Al salmone con pinolli|Insalata aisberg con lola-rosso, pinolli,salmone afumikato.|250 / 75,00|it
14|Al salmone con pinolli|Salads with mustard, orange juice, light salted salmon cedar nuts.|250 / 75,00|en
14|Аль сальмоне кон пинолли|Листья салатов Айсберг и Лола-росса, под соусом из горчицы, апельсинового фреша и оливкового масла, с кедровыми орешками.|250 / 75,00|ru
15|ХОЛОДНІ ЗАКУСКИ|грам/гривня||ua
15|ANTIPASTI FREDDI|g./uah||it
15|COLDSTARTERS|g./uah||en
15|ХОЛОДНЫЕ ЗАКУСКИ|гр. / грн.||ru
16|Карпачо м`ясне з сиром Пармезан|Телятина у суміші олій, білого вина та під сиром Пармезан.|150 / 80,00|ua
16|Carpaccio di carne|Con Parmigiano Fesa di vitello con Parmigiano a scaglie vinegret di olio extravergine doliva, vino bianco, limone, sale e pepe.|150 / 80,00|it
16|Carpaccio di carne|Veal meat, parmesan cheese. Served with  extra virgin olive oil, lemon and white wine dressing.|150 / 80,00|en
16|Карпаччо мясное|Филе телятины под сыром Пармезан и соусом с оливкового масла, белого вина и лимонного сока.|150 / 80,00|ru
17|Карпачо рибне з креветками|Лосось у суміші олій, білого вина та очищених креветок.|150 / 85,00|ua
17|Carpaccio di salmone con gamberi|Salmone e gamberetti vinegret dolio extravergine doliva, vino bianco, limone, sale e pepe.|150 / 85,00|it
17|Carpaccio di salmone|Salmon and prawns. Served with extra virgin olive oil, lemon and a white wine dressing.|150 / 85,00|en
17|Карпаччо рыбное|Лосось с кревтками под соусом с оливкового масла, белого вина и лимонного сока.|150 / 85,00|ru
18|Коктейль з креветок|Креветки коктейльні очищені, під соусом “Аврора”.|200 / 75,00|ua
18|Coktail di gamberetti|Gamberetti e insalata condita con salsa "Aurora".|200 / 75,00|it
18|Cocktail di gamberetti|King  prawns, salad leaves and lemon served with 'Aurora' sauce.|200 / 75,00|en
18|Коктейль с креветок|Креветки, листья салата и лимон, подается с соусом «Аврора».|200 / 75,00|ru
19|Сирна тарілка|Ассорті з сирів Фета, Горгонзола, Пармезан, Едaм, Моцарела.|250 / 110,00|ua
19|Padella di formagio.|Feta, Gorgonzola, Parmigiano, Edem e Mozzarela.|250 / 110,00|it
19|Cheeze dish|Feta cheeze, parmezan, Edam cheeze, mozarella cheeze and gorgonzola cheeze.|250 / 110,00|en
19|Сырное блюдо|Ассорти из сыров Фета, Пармезан, Горгонзола, Эдам, Моцарелла.|250 / 110,00|ru
20|Вітелло тонато|Телятина відварена під соусом з тунця, анчоусів та каперсів.|170 / 70,00|ua
20|Vitello tonato|Vitello bolito con salsa tonato.|170 / 70,00|it
20|Vitelo tonato|Veal filet with sause of tuna fish, anciovies and capers.|170 / 70,00|en
20|Вителло тонато|Филе телятины с соусом из тунца, анчоусов и каперсов.|170 / 70,00|ru
21|Прошутто крудо||50 / 42,00|ua
21|Prosciutto crudo||50 / 42,00|en
21|Прошутто крудо||50 / 42,00|ru
21|Prosciutto crudo||50 / 42,00|it
22|Брускетта|Грінка із італійською закускою з помідорів, оливкової олії та часнику.|150 / 35,00|ua
22|Bruschetta|Crostino di pane con pomodoro a cubetti olio extravergine doliva, 'aglio e origano.|150 / 35,00|it
22|Bruschetta|Sliced toasted bread with tomatoes, olive, oil, garlic and oregano.|150 / 35,00|en
22|Брускетта|Гренки с помидорами, оливковым маслом, чесноком и орегано.|150 / 35,00|ru
23|ГАРЯЧІ ЗАКУСКИ|грам/гривня||ua
23|ANTIPASTI CALDI|g./uah||it
23|HOT STARTERS|g./uah||en
23|ГОРЯЧИЕ ЗАКУСКИ|гр. / грн.||ru
24|Баклажани Парміджано|Баклажани запечені з сиром та помідорами.|200 / 50,00|ua
24|Melanzane atta Parmigiana|Melanzane fritte, con salsa di pomodoro, Mozzarella e parmigiano, gratinate al forno.|200 / 50,00|it
24|Melanzane alla Parmigiana|Baked aubergines with mozzarella cheese and tomatoes sauce.|200 / 50,00|en
24|Баклажаны Пармиджано|Запеченные баклажаны с моцареллой и помидорным соусом.|200 / 50,00|ru
25|Кальмари фрі зі скибкою лимону|Кальмари у фритюрі з лимоном.|160/40 / 72,00|ua
25|Calamari fritti|Calamari infarinati e fritti, serviti con limone.|160/40 / 72,00|it
25|Calamari Fritti|Deep fried squids served with lemon.|160/40 / 72,00|en
25|Кальмары фри с ломтиком лимона|Кальмары во фритюре с лимоном.|160/40 / 72,00|ru
26|Сеньйор Помідор|Помідори підсмажені з анчоусами, каперсами, оливками та часником.|170 / 49,00|ua
26|Signor Pomodoro|Pomodori saltai in padella con acciughe, capperi, olive e aglio.|170 / 49,00|it
26|Signor Pomidoro|Sauted tomatoes with anchiovies, capers, olives, garlic and oregano.|170 / 49,00|en
26|Сеньор Помидор|Помидоры поджаренные с анчоусами, каперсами, оливками и чесноком.|170 / 49,00|ru
27|Тигрові креветки на грилі||200 / 110,00|ua
27|Gamberoni grigliatti||200 / 110,00|it
27|Gamberoni|Grilled tiger prawns.|200 / 110,00|en
27|Тигровые креветки на гриле||200 / 110,00|ru
28|Креветки аля Рімінезе|Тигрові креветки, підсмажені з помідорами, білим вином та спеціями.|190 / 110,00|ua
28|Gamberoni alla Riminese|Gamberoni saltati in padella con pomodorini freschi, aglio, vino bianco, sak e pepe.|190 / 110,00|it
28|Gamberoni alla Riminese|Grilled tiger prawns with tomatoes, white wine, garlic, salt and pepper.|190 / 110,00|en
28|Креветки аля Риминезе|Тигровые креветки на гриле с помидорами, белым вином, чесноком, солью и перцем.|190 / 110,00|ru
29||||ua
29||||it
29||||en
29||||ru
30|ПАНСОТТІ|грам/гривня||ua
30|PANSOTTI|g./uah||it
30|PANSOTTI|g./uah||en
30|ПАНСОТТИ|гр. / грн.||ru
31|Пансотті Дженовезе з горіховим соусом|Пансотті з сиром рікотта та шпинатом, під соусом з очищених горіхів, посипаються сиром Пармезан.|350 / 65,00|ua
31|Pansotti alla Gevonese con la salsa di noci|Pansotti ripieni di spinaci, ricotta, uova e cannetta, conditi con una tipica salsa genovese a base di noci, pinoti, Parmigiano, burro, pane bagnato nettatte e panna.|350 / 65,00|it
31|Pansotti alla Genovese con la salsa di noci|Pansotti filled with ricotta cheese, spinach, egg and cinnamon. Served with a typical genovese sauce made with walnuts, cedernuts, parmesan, bread and cream.|350 / 65,00|en
31|Пансотти Дженовезе с ореховым соусом|Пансотти со шпинатом и сыром рикотта, под соусом из очищенных орехов, посыпаются сыром Пармезан.|350 / 65,00|ru
32|Пансотті під соусом з шалфею|Пансотті з сиром рікотта та шпинатом, під соусом з шалфею, посипаються сиром Пармезан.|300 / 65,00|ua
32|Pansotti alla genovese mantecati con burro e satvia|Pansotti ripieni di spinaci ricotta, uova e cannetta, conditi con burro e satvia.|300 / 65,00|it
32|Pansotti alla genovese mantecati con burro e salvia|Pansotti filled with ricotta cheese, spinach, egg and cinnamon.|300 / 65,00|en
32|Пансотти под соусом из шалфея|Пансотти со шпинатом и сыром рикотта, под соусом из шалфея, посыпаются сыром Пармезан.|300 / 65,00|ru
33|Равіолі з м`ясом|Равіолі з м`ясом, під соусом Болоньєзе, посипаються сиром Пармезан.|350 / 65,00|ua
33|Ravioli di carne|Ravioli, ripieni di carne, spinaci prosciutto cotto e Parmigiano, conditi con rag/|350 / 65,00|it
33|Ravioli alia Bolognese|Ravioli with meat,served with Bolognese sauce.|350 / 65,00|en
33|Равиоли с мясом|Равиоли с мясом, под соусом Болоньезе, посыпаются сыром Пармезан.|350 / 65,00|ru
34|ЛАЗАНЬЯ|грам/гривня||ua
34|LASAGNE|g./uah||it
34|LASAGNE|g./uah||en
34|ЛАЗАНЬЯ|гр. / грн.||ru
35|Лазанья кон фунгі|Лазанья з грибами, під вершковим соусом бешамель.|300 / 55,00|ua
35|Lasagne ai funghi|Champignons Lasagne chaampignons, besciamella e Parmigiano.|300 / 55,00|it
35|Lasagne ai funghi|Mushrooms, cream and Bechamel sauce.|300 / 55,00|en
35|Лазанья кон фунги|Лазанья с грибами под сливочным соусом бешамель.|300 / 55,00|ru
36|Лазанья Болоньєзе|З м`ясом, під соусом з очищених помідорів.|300 / 55,00|ua
36|Lasagne alla Bolognese|Lasagne preparate con rag.|300 / 55,00|it
36|Lasagne alla Bolоgnese|Served with bolognese sauce.|300 / 55,00|en
36|Лазанья Болоньезе|Подается с соусом болоньезе.|300 / 55,00|ru
37|Лазанья Сальмоне|Лазанья з лососем під вершковим соусом бешамель.|300 / 59,00|ua
37|Lasagne al salmone|Lasagne preparate con una deticata salsa di salmone e besciamella.|300 / 59,00|it
37|Lasagne al Salmone|Salmon, cream and Bechamel sauce.|300 / 59,00|en
37|Лазанья аль Сальмоне|Лазанья с лососем под соусом бешамель.|300 / 59,00|ru
38|НЬОККІ|грам/гривня||ua
38|GNOCCHI|g./uah||it
38|GNOCCHI|g./uah||en
38|НЬОККИ|гр. / грн.||ru
39|Ньоккі Соррентіна|Картопляні кульки з пюре із свіжих помідорів, запечені з сиром Моцарелла.|300 / 44,00|ua
39|Gnocchi alla Sorrentina|Gnocchi di patate, con satsa di pomodoro e Mozzarella, gratinati alforno.|300 / 44,00|it
39|Gnocchi alla Sorrentina|Baked potato gnocchi with tomato sauce and mozzarella cheese.|300 / 44,00|en
39|Ньокки алла Sorrentina|Запеченные картофельные ньокки с томатным соусом и сыром моцарелла.|300 / 44,00|ru
40|Ньоккі Горгонзола|Картопляні кульки запечені з соусом із сиру Горогонзола.|300 / 52,00|ua
40|Gnocchi gorgonzola|Gnochii di patate mantecati con gorgonzola, panna.|300 / 52,00|it
40|Gnocchi al Gorgonzola|Baked potatoes gnocchi with gorgonzola, cream.|300 / 52,00|en
40|Ньокки Горгонзола|Запеченные картофельные ньокки с соусом из сыра Горгонзола.|300 / 52,00|ru
41|Ньоккі Болоньєзе|Картопляні кульки з пюре із свіжих помідорів, м`ясного соуса Болоньєз та білого вина.|300 / 44,00|ua
41|Gnocchi alla Bolognese|Gnocchi di patate preparati con rag.|300 / 44,00|it
41|Gnocchi Alla Bolbgnese|Potatoes gnocchi served with Bolognese sauce.|300 / 44,00|en
41|Ньокки Блоньезе|Запеченные картофельные ньокки с соусом Болоньезе.|300 / 44,00|ru
42|КАННЕЛЛОНІ|грам/гривня||ua
42|CANNELLONI|g./uah||it
42|CANNELLONI|g./uah||en
42|КАННЕЛЛОНИ|гр. / грн.||ru
43|Каннеллоні зі шпінатом та рікотою|Каннеллоні фаршировані сирною пастою рікотта зі шпинатом, під соусом Бешамель.|250 / 58,00|ua
43|Cannelloni con spinaci e ricotta|Cannelloni ripieni di ricotta e spinaci serviti con besciamella e Parmigiano.|250 / 58,00|it
43|Cannelloni con Spinaci e Ricotta|Cannelloni filled with ricotta cheese and spinach. Served with Bechamel sauce and parmesan.|250 / 58,00|en
43|Каннеллони со шпинатом и рикоттой|Каннеллони фаршированые сыром рикотта и шпинатом. Подается с соусом бешамель и сыром пармезан.|250 / 58,00|ru
44|Каннеллоні з м`ясом|Фаршировані м`ясом, подаються під соусом Болоньєзе.|300 / 58,00|ua
44|Cannelloni alla bolognese|Cannelloni ripieni di carne, spinaci uova e Parmigiano, serviti con rag.|300 / 58,00|it
44|Cannelloni alla Bolognese|Cannelloni filled with meat and cream. Served with Bolognese sauce.|300 / 58,00|en
44|Каннеллони Болоньезе|Каннеллони с мясом под соусом Болоньезе и сыром Пармезан.|300 / 58,00|ru
45|СПАГЕТІ|грам/гривня||ua
45|SPAGHETTI|g./uah||it
45|SPAGHETTI|g./uah||en
45|СПАГЕТТИ|гр. / грн.||ru
46|Карбонара|Шинка, яйця, Пармезан, вершки.|300 / 65,00|ua
46|Alla carbonara|Spaghetti con prosciutto, uova, panna.|300 / 65,00|it
46|Alla Carbonara|Ham, eggs, parmesan cheese and cream.|300 / 65,00|en
46|Карбонара|Ветчина, яйца, сыр пармезан и сливки.|300 / 65,00|ru
47|Карбонара КЛАСІК|Бекон, яйця, Пармезан, вершки, готується Аль денте.|300 / 65,00|ua
47|Alla carbonara CLASSIK|Spaghetti con becon uova.|300 / 65,00|it
47|Alla Carbonara CLASSIK|Becon, eggs, parmesan cheese.|300 / 65,00|en
47|Карбонара КЛАССИК|Бекон, яйца, сыр пармезан, готовится Аль денте.|300 / 65,00|ru
48|Альйо, ольйо е пеперончино|Часничок, олійка та гострий перчик.|250 / 45,00|ua
48|Aglio, olio e peperoncino|Spaghetti con aglio, olio e peperoncino rosso.|250 / 45,00|it
48|Aglio, olio e peperoncino|Garlic, oil and chilly pepper.|250 / 45,00|en
48|Альойо, ольйо е пеперончино|Чеснок, масло и чили перцем|250 / 45,00|ru
49|Фрутті ді маре|Очищені креветки, лосось, мідії, кальмари, судак, соус з помідорів.|300 / 80,00|ua
49|Ai frutti di mare|Spaghetti con gamberetti, cozze, calamari, salmone e salsa di pomodoro.|300 / 80,00|it
49|Ai frutti di mare|Squids, prawns, mussels, salmon and tomato sauce.|300 / 80,00|en
49|Фрутти ди маре|Кальмары, креветки, мидии, лосось и судак с помидорным соусом.|300 / 80,00|ru
50|Болоньєзе бьянко|Рублене м`ясо, шинка, біле вино, печериці, вершки.|300 / 55,00|ua
50|Alla Bolognese Bianca|Spaghetti con champignons, panna, carne tritata, prosciutto e vino bianco.|300 / 55,00|it
50|Alla Bolognese Bianca|Mushrooms, ham, chopped meat and cream.|300 / 55,00|en
50|Болоньезе бьянко|Шампиньоны, ветчина, рубленое мясо и сливки.|300 / 55,00|ru
51|Болоньєзе россо|Цибуля, морква, рублене м`ясо, біле вино, соус з помідорів.|300 / 55,00|ua
51|Alla Bolognese rossa|Spaghetti serviti con rag.|300 / 55,00|it
51|Alla Bolognese Rossa|Spaghetti Served with bolognese sauce.|300 / 55,00|en
51|Больньезе россо|Лук, морковка, соус Болоньезе.|300 / 55,00|ru
52|Помідоро|Цибуля, помідори, біле вино.|300 / 45,00|ua
52|Al Pomodoro|Spaghetti con salsa di pomodoro.|300 / 45,00|it
52|Al Pomodoro|Spaghetti Served with tomato sauce.|300 / 45,00|en
52|Помодоро|Спагетти Подается с помидорным соусом.|300 / 45,00|ru
53|ПЕННЕ|грам/гривня||ua
53|PENNE|g./uah||it
53|PENNE|g./uah||en
53|ПЕННЕ|гр. / грн.||ru
54|4 сира|Рокфор, Едам, Маздамер, Пармезан, вершки.|300 / 85,00|ua
54|4 Formaggi|Penne condite con una salsa a base di Rokfort, Edam, Mazdamer, Parmigiano e panna.|300 / 85,00|it
54|Ai Quattro formaggi|Mozzarella, edam, rokfort, parmesan cheese and cream.|300 / 85,00|en
54|4 сыра|Моцарелла, Эдам, Рокфор, Пармезан и сливки.|300 / 85,00|ru
55|Аматрічіана|Помідори, шинка, цибулинка, пармезан.|270 / 55,00|ua
55|All amatriciana|Penne con salsa di pomodori pelati, prosciutto saltato in padella, cipolla e Parmigiano.|270 / 55,00|it
55|All amatriciana|Tomatoes, ham, onion and parmesan.|270 / 55,00|en
55|Аматричиана|Помидоры, ветчина, лук и сыр пармезан.|270 / 55,00|ru
56|Ал Італьяно|Помідорний соус, моцарелла, салямі.|300 / 63,00|ua
56|All italiana|Penne condite con salsa dipomodoro, Mozzarella e salame.|300 / 63,00|it
56|All italiana|Tomato sauce, Mozzarella cheese and salami.|300 / 63,00|en
56|Аль Итальяно|Помидорный соус, сыр Моцарелла и салями.|300 / 63,00|ru
57|Аль сальмоне|Лосось, коньяк, біле вино, вершки.|300 / 75,00|ua
57|All salmone|Penne condite con una salsa a base di salmone e panna.|300 / 75,00|it
57|All salmone|Salmon, cognac white  vine and cream.|300 / 75,00|en
57|Аль сальмоне|Лосось, коньяк, белое вино и сливки.|300 / 75,00|ru
58|Прошуто е фунгі|Шинка та печериці, вершки, біле сухе вино.|300 / 54,00|ua
58|Prosciutto e funghi|Penne con funghi champignons, prosciutto saltato in padella e panna.|300 / 54,00|it
58|Prosciutto e funghi|Ham, mushrooms and cream.|300 / 54,00|en
58|Прошутто э фунги|Ветчина, грибы и сливки.|300 / 54,00|ru
59|Ал тонно|Зелений горошок, свіжі помідори, тунець, олія, біле вино, вершки.|300 / 65,00|ua
59|All tonno|Penne con tonno, pomodoro saltato in padella, piselli, vino bianco e panna.|300 / 65,00|it
59|All tonno|Green Peas, tomatoes, tuna, and cream.|300 / 65,00|en
59|Аль тонно|Зеленый горошек, помидоры, тунец, и сливки.|300 / 65,00|ru
60|Алл` Арабіата|Гострий помідорний соус.|300 / 47,00|ua
60|All' arrabbiata|Penne condite con salsa di pomodoro e con un 'aggiunta di peperoncino piccante.|300 / 47,00|it
60|All' arrabbiata|Tomatoes sauce and chilly pepper.|300 / 47,00|en
60|Алл` аррабиата|Острый помидорный соус.|300 / 47,00|ru
61|Болоньєзе|Цибуля, морква, м`ясний фарш, помідори, червоне вино.|300 / 56,00|ua
61|Alla bolognese|Penne condite con rag|300 / 56,00|it
61|Alla bolognese|Served with bolognese sauce.|300 / 56,00|en
61|Болоньезе|Подается с соусом болоньезе.|300 / 56,00|ru
62|Зі шпинатом та волоським горіхом||300 / 54,00|ua
62|Con spinaci e noce||300 / 54,00|it
62|Spinach and alnuts||300 / 54,00|en
62|Со шпинатом и грецким орехом||300 / 54,00|ru
63|Помідоро|Цибуля, помідори, біле вино|300 / 47,00|ua
63|Al pomodoro|Penne condite con salsa di pomodoro.|300 / 47,00|it
63|Al pomodoro|Served with tomato sauce.|300 / 47,00|en
63|Помодоро|Подается с помидорным соусом.|300 / 47,00|ru
64|Вегетаріанські|Баклажани, цукіні, солодкий перець, біле  вино.|300 / 50,00|ua
64|Vegetariane|Penne condite con zucchine, melanzane, cavolfiore, peperoni amalgamati nella salsa di pomodoro.|300 / 50,00|it
64|Vegetariane|Аubergines, zucchini sweet peppers with tomato sauce.|300 / 50,00|en
64|Вегетарианские|Баклажаны, цуккини, сладкий перец с помидорным соусом.|300 / 50,00|ru
65|Цукіні та креветки|Креветки, цукіні, цибуля, біле вино.|300 / 65,00|ua
65|Zucchini e gamberetti|Penne con gamberetti, zucchine, cipolla e vino bianco.|300 / 65,00|it
65|Цуккини и креветки|Пенне с креветками, цукини, белим вином.|300 / 65,00|ru
65|Zucchini and Shrimp|Penne with shrimp, zucchini, onion and white wine|300 / 65,00|en
66|РІЗОТТО|грам/гривня||ua
66|RISOTTI|g./uah||it
66|RISOTTI|g./uah||en
66|РИЗОТТО|гр. / грн.||ru
67|Фрутті ді маре|Очищені креветки, лосось, мідії, кальмари, судак, соус з помідорів.|300 / 89,00|ua
67|Ai frutti di mare|Riso con gamberetti sgusciati, cozze, calamari, salmone e salsa di pomodoro.|300 / 89,01|it
67|Ai frutti di mare|Prawns, mussels, squids, salmon and tomato sauce.|300 / 89,02|en
67|Фрутти ди маре|Креветки, мидии, кальмары, лосось, судак о помидорный соус.|300 / 89,03|ru
68|Ай порчіні|Білі гриби, часник, вершки, пармезан, петрушка.|300 / 79,00|ua
68|Ai funghi porcini|Riso con funghi porcini, panna, Parmigiano, prezzemolo e aglio.|300 / 79,00|it
68|Ai funghi porcini|Mushrooms, garlic, cream, Parmesan cheese.|300 / 79,00|en
68|Ай порчини|Белые грибы, чеснок, сливки, сыр Пармезан.|300 / 79,00|ru
69|Прошуто е фунгі|Печериці, шинка, під вершковим соусом.|300 / 60,00|ua
69|Prosciutto e funghi|Champignons Riso con champignons, prosciutto e panna.|300 / 60,00|it
69|Prosciutto e funghi|Champignons, ham and cream sauce.|300 / 60,00|en
69|Прошутто э фунги|Шампиньоны с ветчиной и сливочным соусом.|300 / 60,00|ru
70|Ал Бурро|Рис з маслом та сиром Пармезан.|300 / 52,00|ua
70|Al Burro Rjso|(bollito) con burro e Parmigiano.|300 / 52,00|it
70|Al Burro Rjso|Rice with Butter and parmesan cheese.|300 / 52,00|en
70|Ал Бурро|Рис с маслом и сыром пармезан.|300 / 52,00|ru
71|СУПИ|грам/гривня||ua
71|ZUPPE|g./uah||it
71|SOUPS|g./uah||en
71|СУПЫ|гр. / грн.||ru
72|Міністроне|Овочевий суп з свіжими баклажанами, свіжими цукіні, свіжими помідорами, солодким перцем, зеленим горошком, цвітною капустою, квасолею.|300 / 40,00|ua
72|Minestrone|Zuppa di verdure con melanzane, zuccflint, pomodori, cavolfiore, fagiolini e patate.|300 / 40,00|it
72|Minestrone|Vegetable soup with aubergines, zucchini and tomatoes.|300 / 40,00|en
72|Минестроне|Овощной суп с баклажанами, цуккини, сладким перцем, зеленым горошком и помидорами.|300 / 40,00|ru
73|Борщ|Класчний український борщ, подається зі сметаною та зеленью.|300 / 35,00|ua
73|Borsch|Zuppa di verza, patate, carote, cipolle e panna acida.|300 / 35,00|it
73|Borsch|Beetroot, Cabbage, onions, potatoes, carrots, reduced tomato sauce and sour cream.|300 / 35,00|en
73|Борщ|Классический украинский борщ со сметаной и укропчиком.|300 / 35,00|ru
74|Сеньйор Помідор|Суп-пюре зі свіжих томатів з вершками та грінками.|300 / 30,00|ua
74|Signor Pomodoro|Vellutata dipomodori freschi, macchiata conpanna e servita con crostine dipane.|300 / 30,00|it
74|Signor Pomodoro|Tomato cream, double cream. Served with small pieces of toasted bread.|300 / 30,00|en
74|Синьор Помидор|Суп-пюре из свежих помидор со сливками и гренками.|300 / 30,00|ru
75|Пірат|Кальмари, мідії, лосось, судак, креветки, в помідорному бульйоні.|300 / 55,00|ua
75|Pirata|Calamari, cozze, gamberetti, merluzzo, salmone e salsa dipomodoro.|300 / 55,00|it
75|Pirata|Squids, mussels, shrimps, salmon, cod and tomato sauce.|300 / 55,00|en
75|Пират|Кальмары, мидии, креветки, лосось, судак в помидорном бульоне.|300 / 55,00|ru
76|Суп-пюре з печориць|Подається з вершками та грінками.|300 / 38,00|ua
76|Zupa-crema|Di schampions con latte e panna.|300 / 38,00|it
